School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,lat,lon
University of Wisconsin (UW) - Stout,Midwestern,"$43,600.00","$68,300.00","$40,900.00","$50,600.00","$91,600.00","$136,000.00",44.87171285,-91.92650334034423
Robert Morris College (RMC),Midwestern,"$38,500.00","$68,200.00","$37,300.00","$47,100.00","$95,000.00","$128,000.00",,
University of Missouri - St. Louis (UMSL),Midwestern,"$41,400.00","$67,100.00","$36,800.00","$49,600.00","$97,600.00","$144,000.00",38.70863975,-90.31171453683027
University of Wisconsin (UW) - Oshkosh,Midwestern,"$39,300.00","$66,400.00","$37,700.00","$49,700.00","$90,100.00","$138,000.00",44.02519995,-88.55108993473048
University of Missouri - Kansas City (UMKC),Midwestern,"$38,900.00","$65,800.00","$36,300.00","$48,100.00","$95,800.00","$124,000.00",,
University of Wisconsin (UW) - Eau Claire,Midwestern,"$41,400.00","$64,800.00","$35,000.00","$47,300.00","$93,100.00","$125,000.00",45.481483100000005,-91.74162143660122
Ball State University (BSU),Midwestern,"$39,100.00","$64,500.00","$35,500.00","$48,200.00","$89,300.00","$128,000.00",,
Park University,Midwestern,"$44,300.00","$64,300.00","$37,200.00","$45,600.00","$86,400.00","$113,000.00",39.18900875,-94.67252894147339
University of Wisconsin (UW) - Stevens Point,Midwestern,"$39,800.00","$64,000.00","$38,400.00","$45,100.00","$95,400.00","$128,000.00",44.53164045,-89.56946748200718
Kent State University,Midwestern,"$38,700.00","$62,600.00","$36,100.00","$45,800.00","$87,000.00","$124,000.00",41.1443582,-81.33982989345859
University of Wisconsin (UW) - Green Bay,Midwestern,"$35,800.00","$60,600.00","$35,500.00","$46,800.00","$81,800.00","$102,000.00",44.53284245,-87.9198843502084
Indiana Wesleyan University (IWU),Midwestern,"$39,800.00","$58,500.00","$39,600.00","$47,800.00","$78,600.00","$93,400.00",,
Pittsburg State University,Midwestern,"$40,400.00","$58,200.00","$25,600.00","$46,000.00","$84,600.00","$117,000.00",37.390464300000005,-94.69540633686316
Davenport University,Midwestern,"$39,700.00","$46,600.00","$31,600.00","$38,100.00","$65,600.00","$85,700.00",43.61331215,-84.1832637730429
Black Hills State University,Midwestern,"$35,300.00","$43,900.00",,"$32,200.00","$60,900.00",,44.49815045,-103.87285405608749
Rice University,Southern,"$64,000.00","$110,000.00","$55,900.00","$82,100.00","$141,000.00","$216,000.00",29.716791450000002,-95.40478113393792
Georgetown University,Southern,"$55,000.00","$110,000.00","$60,300.00","$85,800.00","$174,000.00","$248,000.00",38.90893925,-77.07457962060826
Duke University,Southern,"$58,900.00","$106,000.00","$56,000.00","$77,400.00","$149,000.00","$218,000.00",36.00015569999999,-78.94422972195878
Georgia Institute of Technology,Southern,"$58,300.00","$106,000.00","$67,200.00","$85,200.00","$137,000.00","$183,000.00",33.776033,-84.39884086001581
Washington and Lee University,Southern,"$53,600.00","$104,000.00",,"$82,800.00","$146,000.00",,37.7929993,-79.44773490479687
